Time	Avg. Solid Temp. [K]	
1.1764706e-05	299.99999
2.5882353e-05	299.99998
4.2677485e-05	299.99997
6.2621704e-05	299.99996
8.5484589e-05	299.99995
0.0001116136	299.99994
0.00014027123	299.99996
0.00017211303	300.00006
0.00020168042	300.00032
0.00022448956	300.00073
0.00024387732	300.00126
0.00026146157	300.00187
0.00027787353	300.00252
0.00029357193	300.0032
0.00030860232	300.00389
0.00032331291	300.00459
0.0003377105	300.0053
0.00035180177	300.006
0.00036559322	300.00669
0.00037938467	300.00738
0.00039317612	300.00807
0.00040696758	300.00877
0.00042044559	300.00944
0.0004339236	300.01012
0.0004474016	300.0108
0.00046087961	300.01148
0.00047435762	300.01216
0.00048783563	300.01283
0.00050131364	300.01351
0.00051479165	300.01419
0.00052826966	300.01487
0.00054137328	300.01553
0.0005544769	300.01618
0.00056758052	300.01684
0.00058068414	300.01749
0.00059378776	300.01814
0.00060714886	300.0188
0.00062050996	300.01946
0.00063387106	300.02011
0.00064723215	300.02076
0.00066059325	300.0214
0.00067397349	300.02203
0.00068737295	300.02266
0.00070081109	300.02329
0.00071426867	300.02391
0.00072776537	300.02453
0.00074128175	300.02514
0.0007548377	300.02575
0.00076843353	300.02636
0.00078206952	300.02696
0.00079574598	300.02756
0.00080944278	300.02816
0.00082318054	300.02875
0.00083695955	300.02934
0.00085075931	300.02993
0.00086460082	300.03052
0.00087846334	300.03111
0.00089234695	300.03169
0.00090625177	300.03228
0.00092017788	300.03286
0.00093412538	300.03344
0.00094809437	300.03402
0.00096206336	300.0346
0.00097605397	300.03518
0.00099004458	300.03575
0.001004057	300.03633
0.0010180693	300.03691
0.0010321036	300.03749
0.0010461379	300.03807
0.0010601942	300.03865
0.0010742726	300.03923
0.0010883733	300.03981
0.0011024963	300.04039
0.0011166643	300.04097
0.0011308549	300.04156
0.0011450911	300.04214
0.0011593732	300.04273
0.0011736784	300.04332
0.0011880302	300.04391
0.0012024288	300.04451
0.0012168748	300.0451
0.0012313684	300.0457
