Time	Avg. Solid Temp. [K]	
1.1990408e-05	300
2.6361644e-05	300
4.3381505e-05	300
6.3019806e-05	300.00001
8.5250187e-05	300.00001
0.00011009918	300.00002
0.00013640211	300.00005
0.00016270504	300.00014
0.00018900797	300.00034
0.00020859079	300.00061
0.00022524284	300.00092
0.0002400981	300.00127
0.0002537866	300.00164
0.00026666138	300.00203
0.00027895095	300.00242
0.00029082037	300.00281
0.00030236517	300.00321
0.00031368096	300.00362
0.00032481466	300.00402
0.00033580919	300.00442
0.00034669229	300.00482
0.00035749017	300.00522
0.00036821599	300.00562
0.00037889424	300.00602
0.0003895253	300.00642
0.00040012119	300.00681
0.00041069375	300.00721
0.00042124304	300.00761
0.00043176914	300.008
0.00044228368	300.0084
0.00045277514	300.0088
0.00046325508	300.00919
0.00047371204	300.00959
0.00048414609	300.00999
0.0004945573	300.01039
0.00050494577	300.01078
0.00051531155	300.01118
0.00052565472	300.01158
0.00053597536	300.01198
0.00054627353	300.01237
0.00055654932	300.01277
0.00056681394	300.01317
0.00057705627	300.01356
0.00058728748	300.01395
0.00059751869	300.01435
0.00060773878	300.01474
0.00061795887	300.01512
0.00062817896	300.01551
0.0006384102	300.0159
0.00064865264	300.01628
0.00065890631	300.01666
0.00066917125	300.01704
0.00067945882	300.01742
0.00068975776	300.0178
0.00070007954	300.01817
0.00071042428	300.01855
0.00072079211	300.01892
0.00073118316	300.01929
0.00074159756	300.01966
0.00075204722	300.02003
0.00076252056	300.0204
0.00077301769	300.02077
0.00078353877	300.02114
0.00079408392	300.0215
0.00080465328	300.02187
0.000815247	300.02224
0.00082586521	300.0226
0.00083649573	300.02296
0.00084715096	300.02333
0.00085783107	300.02369
0.00086852366	300.02405
0.00087922879	300.02441
0.00088995911	300.02477
0.00090070208	300.02513
0.00091144506	300.02549
0.00092220074	300.02585
0.00093296919	300.02621
0.00094373763	300.02657
0.00095450608	300.02693
0.00096528736	300.02729
0.00097606864	300.02764
0.00098684992	300.028
0.0009976312	300.02836
0.0010084125	300.02872
0.0010191938	300.02908
0.001029975	300.02944
0.0010407693	300.0298
0.0010515635	300.03016
0.0010623708	300.03052
0.0010731912	300.03088
0.0010840247	300.03124
0.0010948714	300.0316
0.0011057313	300.03196
0.0011166178	300.03232
0.0011275311	300.03268
0.0011384712	300.03305
0.0011494385	300.03341
0.0011604329	300.03378
0.0011714548	300.03415
0.0011825182	300.03452
0.0011936094	300.03489
0.0012047285	300.03526
0.0012158901	300.03563
0.00122708	300.036
0.0012382986	300.03638
0.0012495315	300.03676
0.0012607934	300.03713
0.0012720698	300.03751
0.0012833754	300.03789
0.0012946957	300.03827
0.001306016	300.03866
0.001317351	300.03904
0.0013286861	300.03942
0.001340036	300.03981
0.0013513858	300.04019
0.0013627209	300.04058
0.0013740559	300.04096
