Time	Avg. Solid Temp. [K]	
0.0079090909	967.88364
0.0079393939	967.76453
0.007969697	967.64546
0.008	967.52645
0.008030303	967.4075
0.0080606061	967.2886
0.0080909091	967.16976
0.0081212121	967.05098
0.0081515152	966.93226
0.0081818182	966.81361
0.0082121212	966.69501
0.0082424242	966.57648
0.0082727273	966.45802
0.0083030303	966.33962
0.0083333333	966.22128
0.0083636364	966.10302
0.0083939394	965.98482
0.0084242424	965.8667
0.0084545455	965.74864
0.0084848485	965.63066
0.0085151515	965.51274
0.0085454545	965.3949
0.0085757576	965.27713
0.0086060606	965.15944
0.0086363636	965.04182
0.0086666667	964.92427
0.0086969697	964.8068
0.0087272727	964.6894
0.0087575758	964.57208
0.0087878788	964.45484
0.0088181818	964.33768
0.0088484848	964.22059
0.0088787879	964.10358
0.0089090909	963.98665
0.0089393939	963.86981
0.008969697	963.75304
0.009	963.63636
0.009030303	963.51976
0.0090606061	963.40324
0.0090909091	963.28681
0.0091212121	963.17046
0.0091515152	963.05419
0.0091818182	962.938
0.0092121212	962.8219
0.0092424242	962.70588
0.0092727273	962.58994
0.0093030303	962.47408
0.0093333333	962.35831
0.0093636364	962.24261
0.0093939394	962.127
0.0094242424	962.01146
0.0094545455	961.89601
0.0094848485	961.78064
0.0095151515	961.66535
0.0095454545	961.55014
0.0095757576	961.43501
0.0096060606	961.31996
0.0096363636	961.20499
0.0096666667	961.0901
0.0096969697	960.97529
0.0097272727	960.86056
0.0097575758	960.7459
0.0097878788	960.63132
0.0098181818	960.51681
0.0098484848	960.40238
0.0098787879	960.28802
0.0099090909	960.17373
0.0099393939	960.05951
0.009969697	959.94535
0.01	959.83127
0.010030303	959.71725
0.010060606	959.6033
0.010090909	959.48942
0.010121212	959.3756
0.010151515	959.26185
0.010181818	959.14815
0.010212121	959.03453
0.010242424	958.92096
0.010272727	958.80746
0.01030303	958.69401
0.010333333	958.58063
0.010363636	958.46731
0.010393939	958.35405
0.010424242	958.24085
0.010454545	958.12771
0.010484848	958.01464
0.010515152	957.90162
0.010545455	957.78866
0.010575758	957.67576
0.010606061	957.56292
0.010636364	957.45014
0.010666667	957.33742
0.01069697	957.22476
0.010727273	957.11216
0.010757576	956.99962
0.010787879	956.88714
0.010818182	956.77473
0.010848485	956.66238
0.010878788	956.55009
0.010909091	956.43786
0.010939394	956.3257
0.010969697	956.2136
0.011	956.10157
0.01103125	955.98611
0.0110625	955.87072
0.01109375	955.75541
0.011125	955.64017
0.01115625	955.525
0.0111875	955.40992
0.01121875	955.29491
0.01125	955.17999
0.01128125	955.06515
0.0113125	954.95039
