Time	Avg. Solid Temp. [K]	
0.80372727	313.82352
0.80375758	313.82155
0.80378788	313.81958
0.80381818	313.81761
0.80384848	313.81564
0.80387879	313.81367
0.80390909	313.8117
0.80393939	313.80973
0.8039697	313.80776
0.804	313.80579
0.8040303	313.80382
0.80406061	313.80186
0.80409091	313.79989
0.80412121	313.79792
0.80415152	313.79596
0.80418182	313.79399
0.80421212	313.79203
0.80424242	313.79006
0.80427273	313.7881
0.80430303	313.78613
0.80433333	313.78417
0.80436364	313.7822
0.80439394	313.78024
0.80442424	313.77828
0.80445455	313.77632
0.80448485	313.77435
0.80451515	313.77239
0.80454545	313.77043
0.80457576	313.76847
0.80460606	313.76651
0.80463636	313.76455
0.80466667	313.76259
0.80469697	313.76062
0.80472727	313.75866
0.80475758	313.7567
0.80478788	313.75474
0.80481818	313.75278
0.80484848	313.75082
0.80487879	313.74887
0.80490909	313.74691
0.80493939	313.74495
0.8049697	313.74299
0.805	313.74103
0.8050303	313.73907
0.80506061	313.73711
0.80509091	313.73515
0.80512121	313.73319
0.80515152	313.73124
0.80518182	313.72928
0.80521212	313.72732
0.80524242	313.72536
0.80527273	313.7234
0.80530303	313.72145
0.80533333	313.71949
0.80536364	313.71753
0.80539394	313.71558
0.80542424	313.71362
0.80545455	313.71166
0.80548485	313.70971
0.80551515	313.70775
0.80554545	313.70579
0.80557576	313.70384
0.80560606	313.70188
0.80563636	313.69993
0.80566667	313.69797
0.80569697	313.69602
0.80572727	313.69406
0.80575758	313.69211
0.80578788	313.69015
0.80581818	313.6882
0.80584848	313.68625
0.80587879	313.68429
0.80590909	313.68234
0.80593939	313.68039
0.8059697	313.67843
0.806	313.67648
0.8060303	313.67453
0.80606061	313.67258
0.80609091	313.67063
0.80612121	313.66868
0.80615152	313.66673
0.80618182	313.66478
0.80621212	313.66283
0.80624242	313.66088
0.80627273	313.65893
0.80630303	313.65699
0.80633333	313.65504
0.80636364	313.65309
0.80639394	313.65115
0.80642424	313.6492
0.80645455	313.64725
0.80648485	313.64531
0.80651515	313.64336
0.80654545	313.64142
0.80657576	313.63947
0.80660606	313.63753
0.80663636	313.63559
0.80666667	313.63364
0.80669697	313.6317
0.80672727	313.62976
0.80675758	313.62782
0.80678788	313.62588
0.80681818	313.62393
0.80684848	313.62199
0.80687879	313.62005
0.80690909	313.61811
0.80693939	313.61617
0.8069697	313.61423
0.807	313.61229
0.8070303	313.61036
0.80706061	313.60842
0.80709091	313.60648
0.80712121	313.60454
0.80715152	313.6026
0.80718182	313.60066
0.80721212	313.59873
0.80724242	313.59679
0.80727273	313.59485
0.80730303	313.59291
0.80733333	313.59098
0.80736364	313.58904
0.80739394	313.5871
0.80742424	313.58517
0.80745455	313.58323
0.80748485	313.58129
0.80751515	313.57936
